START_TARGETS
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_DCID,PART_NUMBER,LABEL,TIME_DATA,UP_DELAY,DOWN_TIME,DOWN_DELAY,FOCUS_TIME,FOCUS_DELAY,COLOR_TIME,COLOR_DELAY,BEAM_TIME,BEAM_DELAY,DURATION,MARK,BLOCK,ASSERT,ALL_FADE,PREHEAT,FOLLOW,LINK,LOOP,CURVE,RATE,EXTERNAL_LINKS,EFFECTS,MODE,CUE_NOTES,SCENE_TEXT,SCENE_END
1,Cue,1,213,C5759B8B-56AA-40BE-8CEF-6D7DA87994AD,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,214,5E3C7502-CE47-413E-88D8-226DE56E9EB4,,,1,,,,,,,,,,1,M,,,,,,,,,,,E6 ,,,Sexy,
1,Cue,1,215,D696366E-8F9B-457B-942C-1853A542EED1,,,3,,,,,,,,,,3,,,,,,,,,,,,E6 902 ,,,,
1,Cue,1,216,253998A6-1582-4EB8-AA6C-1C6D3B6021CC,,,0,,,,,,,,,,0,,,,,,F0.5,,,,,,E6 902 ,,,,
1,Cue,1,217,A9B095D2-1236-40CD-B5AE-840AB9D16507,,,0,,,,,,,,,,0,,,,,,F0.5,,,,,,E6 902 ,,,,
1,Cue,1,218,D4F01E98-3126-4C5F-9F42-921F74C39EBA,,,0,,,,,,,,,,0,,,,,,F1.5,,,,,,E6 902 ,,,,
1,Cue,1,219,9CDBB35B-0AF1-42A3-A716-55338458F211,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,E6 902 ,,,,
1,Cue,1,221,80F860DC-C70B-4596-BBCC-F27AF0669733,,,0,,,,,,,,,,0,,,,,,F0.5,,,,,,E6 902 ,,,,
1,Cue,1,222,9F8BC497-5F5A-43BA-A349-C89A028A619B,,,0,,,,,,,,,,0,,,,,,F0.5,,,,,,E6 902 ,,,,
1,Cue,1,223,320BD5A3-DD71-4DD5-AF19-36CEE0B6EF3E,,,0,,,,,,,,,,0,,,,,,F0.5,,,,,,E6 902 ,,,,
1,Cue,1,224,FADC0B26-FD95-4197-BB7B-05043BD8CAFA,,,3,,,,,,,,,,3,M,,,,,,,,,,,E6 902 ,,,,
1,Cue,1,225,E9893F29-63B8-48D7-A517-8E3EEC2B03E6,,,1,,,,,,,,,,1,M,,,,,,,,,,,E902 ,,,,
1,Cue,1,226,239C8E3D-1B05-4475-A09A-CE244C944B2C,,,1,,,,,,,,,,2,M,,,,,,,,,,,E902 ,,,,
1,Cue,1,227,310FFFA9-78DF-40AD-AB20-6B14A63E93F1,,,0,,,,,,,,,,0,M,,,,,,,,,,,E902 ,,,,
1,Cue,1,228,577A8F29-2227-41B5-8B70-4F3ED54E740F,,,0,,,,,,,,,,0,M,,,,,,,,,,,E902 ,,,,
1,Cue,1,229,E51F1F5F-1531-48C7-B8C1-EF24E944945B,,,0,,,,,,,,,,0,M,,,,,,,,,,,E902 ,,,,
